age,arab,children_0_4,lwage_2011,marital,schooling,status,yeshiva
29,0,0,3.588553,4,12,1,0
21,0,0,,4,13,4,1
17,0,0,,4,11,4,0
21,0,0,,4,17,4,1
21,0,0,,4,13,4,1
47,0,0,5.170274,1,16,1,0
69,0,0,,2,12,4,0
63,0,0,3.533333,1,18,1,0
58,0,0,4.750673,1,16,1,0
15,0,0,,4,9,4,0
35,0,1,3.273405,1,12,1,0
64,0,0,5.035872,1,20,1,0
21,0,0,,4,12,4,0
52,0,0,2.007434,1,12,1,0
45,0,0,4.315485,1,15,1,0
59,0,0,6.006933,1,21,1,0
45,0,0,4.796203,1,16,1,0
21,0,0,,4,12,4,0
35,0,1,3.664923,1,12,1,0
61,0,0,4.817767,1,13,1,0
43,0,0,4.572675,1,15,1,0
40,0,0,4.638891,4,12,1,0
28,0,1,3.525456,1,12,1,0
57,0,0,4.458035,1,20,1,0
21,0,0,,4,12,4,0
17,0,0,,4,11,4,0
43,0,0,3.550221,1,10,1,0
32,0,0,,4,12,4,0
60,0,0,3.481773,1,10,1,0
25,0,0,3.550122,4,12,1,0
48,0,0,3.655482,1,8,1,0
52,0,0,3.993829,1,15,1,0
35,0,0,3.898069,4,12,1,0
40,0,0,3.513615,4,12,1,0
45,0,1,3.970045,1,15,1,0
91,0,0,,3,8,4,0
39,0,0,4.34969,2,15,1,0
53,0,0,3.889445,1,12,1,0
42,0,2,3.379156,1,27,1,1
16,0,2,,4,11,4,0
64,0,0,,1,11,4,0
70,0,0,,1,12,4,0
30,0,2,3.715542,1,14,1,1
47,0,1,,1,41,4,1
17,0,1,,4,12,4,0
42,0,0,3.20461,1,13,1,0
48,0,1,4.77923,1,17,2,0
28,0,0,3.350674,4,15,1,0
69,0,0,,1,13,4,0
60,0,0,4.195181,1,15,1,0
78,0,0,,1,16,4,0
36,0,1,4.53021,1,20,1,0
48,0,0,,2,11,4,0
25,0,0,4.227042,4,13,1,0
27,0,0,3.501783,4,14,1,0
58,0,0,,1,10,4,0
21,0,0,2.937078,4,12,1,0
21,0,0,,4,12,4,0
34,0,0,,2,12,4,0
60,0,0,5.020752,1,12,1,0
21,0,0,,4,12,4,0
31,0,0,3.326359,4,13,1,0
29,0,1,,1,11,4,0
65,0,0,,2,10,4,0
77,0,0,,1,5,4,0
33,0,0,3.261289,4,12,1,0
60,0,0,,1,12,4,0
37,0,2,3.75537,1,12,1,0
42,0,1,4.810104,1,20,1,0
61,0,0,3.029179,1,14,1,0
76,0,0,,1,8,4,0
49,0,0,3.134255,1,12,1,0
21,0,0,3.266529,4,12,1,0
17,0,0,,4,12,4,0
21,0,0,,4,12,4,0
21,0,0,,4,12,4,0
21,0,0,3.555489,4,13,1,0
54,0,0,,1,12,4,0
